源氏物語 11 花散里,紫式部
源氏物語 12 須磨,紫式部
月に吠える,萩原朔太郎
審判,カフカ フランツ
I can speak,太宰治
人形の家,イプセン ヘンリック
ジャン クリストフ,ロラン ロマン
日本国憲法,日本国
源氏物語 13 明石,紫式部
早すぎる埋葬,ポー エドガー アラン
狂人日記,魯迅
ブレーメンの町楽隊,グリム ヤーコプ ルートヴィッヒ カール　グリム ヴィルヘルム カール
源氏物語 14 澪標,紫式部
まざあ ぐうす,作者不詳
お米の話,北大路魯山人
舞姫,森鴎外
おおかみと七ひきのこどもやぎ,グリム ヤーコプ ルートヴィッヒ カール　グリム ヴィルヘルム カール
源氏物語 15 蓬生,紫式部
『吾輩は猫である』中篇自序,夏目漱石
猫の事務所,宮沢賢治
茶の本 04 茶の本,岡倉天心 岡倉覚三
レ ミゼラブル 05 第二部　コゼット,ユゴー ヴィクトル
阿部一族,森 鴎外
在りし日の歌 亡き児文也の霊に捧ぐ,中原 中也
ある自殺者の手記,モーパッサン ギ ド
源氏物語 16 関屋,紫式部
古寺巡礼,和辻哲郎
やまなし,宮沢賢治
母を尋ねて三千里,アミーチス エドモンド デ
彼岸過迄,夏目漱石
カインの末裔,有島武郎
料理メモ,北大路魯山人
非暴力,ガンジー マハトマ
武士道の山,新渡戸稲造
源氏物語 17 絵合,紫式部
握り寿司の名人,北大路魯山人
私の個人主義,夏目漱石
ファラデーの伝 電気学の泰斗,愛知敬一
源氏物語 18 松風,紫式部
貉,小泉八雲
源氏物語 20 朝顔,紫式部
どんぐりと山猫,宮沢賢治
道草,夏目漱石
源氏物語 19 薄雲,紫式部
『吾輩は猫である』下篇自序,夏目漱石
晶子詩篇全集,与謝野晶子
手紙,夏目漱石
アメリカの牛豚,北大路魯山人
「平家物語」ぬきほ（言文一致訳）,作者不詳
はつ恋,ツルゲーネフ イワン
源氏物語 21 乙女,紫式部
トロツコ,芥川竜之介
美味い豆腐の話,北大路魯山人
源氏物語 22 玉鬘,紫式部
鮎の食い方,北大路魯山人
猿蟹合戦,芥川竜之介
源氏物語 23 初音,紫式部
鰻の話,北大路魯山人
富嶽百景,太宰治
源氏物語 56 夢の浮橋,紫式部
『注文の多い料理店』序,宮沢賢治
人生,夏目漱石
死刑囚最後の日,ユゴー ヴィクトル
ああ華族様だよ　と私は嘘を吐くのであった,渡辺 温
源氏物語 24 胡蝶,紫式部
源氏物語 25 蛍,紫式部
レ ミゼラブル 08 第五部　ジャン ヴァルジャン,ユゴー ヴィクトル
レ ミゼラブル 01 序,豊島与志雄
濹東綺譚,永井荷風
罪と罰（内田不知庵訳）,北村透谷
駈込み訴え,太宰治
源氏物語 26 常夏,紫式部
レ ミゼラブル 06 第三部　マリユス,ユゴー ヴィクトル
野菊の墓,伊藤左千夫
愛と美について,太宰治
遺書,芥川竜之介
あいびき,ツルゲーネフ イワン
旗本移転後の始末,勝 海舟
レ ミゼラブル 07 第四部　叙情詩と叙事詩　プリューメ街の恋歌とサン ドゥニ街の戦歌,ユゴー ヴィクトル
源氏物語 28 野分,紫式部
源氏物語 27 篝火,紫式部
欧米料理と日本,北大路魯山人
源氏物語 34 若菜（上）,紫式部
源氏物語 30 藤袴,紫式部
高野聖,泉鏡花
宝島 02 宝島,スティーブンソン ロバート ルイス
源氏物語 29 行幸,紫式部
源氏物語 43 雲隠れ,紫式部
病院横町の殺人犯,ポー エドガー アラン
アグニの神,芥川竜之介
小公女,バーネット フランシス ホジソン エリザ
世界怪談名作集 04 妖物,ビアス アンブローズ
源氏物語 31 真木柱,紫式部
源氏物語 35 若菜（下）,紫式部
源氏物語 39 夕霧一,紫式部
源氏物語 32 梅が枝,紫式部
源氏物語 36 柏木,紫式部
山月記,中島敦
芥川竜之介歌集,芥川竜之介
フランス料理について,北大路魯山人
源氏物語 33 藤のうら葉,紫式部
百物語,岡本綺堂
きりぎりす,太宰治
源氏物語 53 浮舟,紫式部
源氏物語 40 夕霧二,紫式部
源氏物語 42 まぼろし,紫式部
源氏物語 37 横笛,紫式部
源氏物語 38 鈴虫,紫式部
源氏物語 41 御法,紫式部
